plazo,tasaxmil
1,"0,5775"
2,"1,4499"
3,"2,1493"
4,"2,8108"
5,"3,6484"
6,"4,4365"
7,"5,1748"
8,"5,8756"
9,"6,526"
10,"7,126"
11,"7,6756"
12,"8,1749"
13,"8,813"
14,"9,451"
15,"10,0891"
16,"10,7272"
17,"11,3652"
18,"12,0033"
19,"12,6414"
20,"13,2794"
21,"13,9175"
22,"14,5556"
23,"15,1936"
24,"15,8317"
25,"16,4698"
26,"17,1078"
27,"17,7459"
28,"18,384"
29,"19,022"
30,"19,6601"
31,"20,2982"
32,"20,9362"
33,"21,5743"
34,"22,2124"
35,"22,8504"
36,"23,4885"
37,"24,3856"
38,"25,224"
39,"26,0745"
40,"26,9369"
41,"27,8113"
42,"28,6977"
43,"29,5961"
44,"30,5064"
45,"31,4287"
46,"32,363"
47,"33,3092"
48,"34,2675"
49,"35,2377"
50,"36,4171"
51,"37,6119"
52,"38,8224"
53,"40,0484"
54,"41,2899"
55,"42,5471"
56,"43,8197"
57,"45,1079"
58,"46,4118"
59,"47,7311"
60,"49,0662"
61,50
62,"50,9098"
63,"51,8197"
64,"52,7295"
65,"53,6393"
66,"54,5491"
67,"55,459"
68,"56,3688"
69,"57,2786"
70,"58,1884"
71,"59,0983"
72,"60,0081"
73,"60,9179"
74,"61,8277"
75,"62,7375"
76,"63,6474"
77,"64,5572"
78,"65,467"
79,"66,3768"
80,"67,2867"
81,"68,1965"
82,"69,1063"
83,"70,0161"
84,"70,926"
85,"71,8358"
86,"72,7456"
87,"73,6555"
88,"74,5653"
89,"75,4751"
90,"76,3849"
91,"77,2947"
92,"78,2046"
93,"79,1144"
94,"80,0242"
95,"80,934"
96,"81,8439"
97,"82,7537"
98,"84,1329"
99,"85,5121"
100,"86,8914"
101,"88,2706"
102,"89,6498"
103,"91,029"
104,"92,4083"
105,"93,7875"
106,"95,1667"
107,"96,5459"
108,"97,9252"
109,"99,3044"
110,"100,6836"
111,"102,0628"
112,"103,4421"
113,"104,8213"
114,"106,2005"
115,"107,5797"
116,"108,959"
117,"110,3382"
118,"111,7174"
119,"113,0966"
120,"114,4759"
121,"115,8551"
122,"115,8551"
123,"115,8551"
124,"115,8551"
125,"115,8551"
126,"115,8551"
127,"115,8551"
128,"115,8551"
129,"115,8551"
130,"115,8551"
131,"115,8551"
132,"115,8551"
133,"115,8551"
134,"115,8551"
135,"115,8551"
136,"115,8551"
137,"115,8551"
138,"115,8551"
139,"115,8551"
140,"115,8551"
141,"115,8551"
142,"115,8551"
143,"115,8551"
144,"115,8551"
145,"115,8551"
146,"115,8551"
147,"115,8551"
148,"115,8551"
149,"115,8551"
150,"115,8551"
151,"115,8551"
152,"115,8551"
153,"115,8551"
154,"115,8551"
155,"115,8551"
156,"115,8551"
157,"115,8551"
158,"115,8551"
159,"115,8551"
160,"115,8551"
161,"115,8551"
162,"115,8551"
163,"115,8551"
164,"115,8551"
165,"115,8551"
166,"115,8551"
167,"115,8551"
168,"115,8551"
169,"115,8551"
170,"115,8551"
171,"115,8551"
172,"115,8551"
173,"115,8551"
174,"115,8551"
175,"115,8551"
176,"115,8551"
177,"115,8551"
178,"115,8551"
179,"115,8551"
180,"115,8551"
181,"115,8551"
182,"115,8551"
183,"115,8551"
184,"115,8551"
185,"115,8551"
186,"115,8551"
187,"115,8551"
188,"115,8551"
189,"115,8551"
190,"115,8551"
191,"115,8551"
192,"115,8551"
193,"115,8551"
194,"115,8551"
195,"115,8551"
196,"115,8551"
197,"115,8551"
198,"115,8551"
199,"115,8551"
200,"115,8551"
201,"115,8551"
202,"115,8551"
203,"115,8551"
204,"115,8551"
205,"115,8551"
206,"115,8551"
207,"115,8551"
208,"115,8551"
209,"115,8551"
210,"115,8551"
211,"115,8551"
212,"115,8551"
213,"115,8551"
214,"115,8551"
215,"115,8551"
216,"115,8551"
217,"115,8551"
218,"115,8551"
219,"115,8551"
220,"115,8551"
221,"115,8551"
222,"115,8551"
223,"115,8551"
224,"115,8551"
225,"115,8551"
226,"115,8551"
227,"115,8551"